user_id,signup_date
1,2023-01-31
2,2023-12-30
3,2022-05-10
4,2023-07-18
5,2023-02-04
6,2022-12-31
7,2022-11-10
8,2020-05-01
9,2021-04-11
10,2023-05-23
11,2020-11-26
12,2020-03-28
13,2023-10-28
14,2023-01-28
15,2022-05-21
16,2020-05-10
17,2023-08-25
18,2022-02-08
19,2020-12-09
20,2023-12-08
21,2022-03-16
22,2021-01-20
23,2023-04-30
24,2022-08-13
25,2020-10-03
26,2023-03-30
27,2021-04-04
28,2023-08-30
29,2020-01-22
30,2020-09-09
31,2022-01-17
32,2022-05-06
33,2021-04-19
34,2022-12-18
35,2021-05-25
36,2021-11-30
37,2022-09-02
38,2020-07-08
39,2022-08-15
40,2021-11-17
41,2022-08-15
42,2021-07-16
43,2023-06-21
44,2022-04-11
45,2023-02-28
46,2021-10-08
47,2020-01-21
48,2022-04-20
49,2020-06-15
50,2023-07-21
51,2021-01-22
52,2021-08-23
53,2020-11-11
54,2020-01-14
55,2020-08-29
56,2022-02-15
57,2023-10-01
58,2021-07-18
59,2022-06-16
60,2023-09-25
61,2020-04-01
62,2023-10-22
63,2022-08-13
64,2023-12-22
65,2021-05-23
66,2022-02-14
67,2020-02-04
68,2020-07-24
69,2023-01-09
70,2023-11-12
71,2022-10-22
72,2022-10-18
73,2023-11-14
74,2021-07-19
75,2023-02-03
76,2021-12-03
77,2021-02-05
78,2021-12-30
79,2020-06-10
80,2020-07-20
81,2022-09-22
82,2020-09-26
83,2022-03-26
84,2023-07-18
85,2021-03-31
86,2023-06-29
87,2022-10-13
88,2020-10-22
89,2021-12-20
90,2020-12-03
91,2022-05-28
92,2022-12-12
93,2022-03-02
94,2020-08-04
95,2022-02-02
96,2020-07-06
97,2021-01-14
98,2021-05-07
99,2022-11-30
100,2023-03-26
101,2020-01-15
102,2020-03-05
103,2021-06-04
104,2023-09-29
105,2023-02-26
106,2021-10-09
107,2022-12-22
108,2023-03-08
109,2021-08-15
110,2021-01-26
111,2021-02-22
112,2020-10-15
113,2021-01-13
114,2020-08-18
115,2022-10-14
116,2020-02-10
117,2022-11-17
118,2020-05-14
119,2020-07-19
120,2022-02-18
121,2022-07-18
122,2022-11-22
123,2022-12-07
124,2021-05-17
125,2021-02-10
126,2022-03-15
127,2020-04-08
128,2021-11-14
129,2021-12-26
130,2022-08-18
131,2021-09-04
132,2021-10-04
133,2022-10-25
134,2023-05-26
135,2021-05-17
136,2022-02-05
137,2021-02-01
138,2022-05-20
139,2022-03-05
140,2021-01-27
141,2020-07-25
142,2022-11-04
143,2022-06-10
144,2022-05-13
145,2022-01-12
146,2023-06-18
147,2021-07-17
148,2022-10-17
149,2020-04-05
150,2021-04-29
151,2023-12-01
152,2020-08-18
153,2022-01-18
154,2023-04-09
155,2021-06-24
156,2022-11-25
157,2021-06-08
158,2023-03-29
159,2023-06-20
160,2023-01-14
161,2021-07-31
162,2021-11-12
163,2021-07-10
164,2022-10-09
165,2021-10-07
166,2022-03-06
167,2022-11-17
168,2023-09-25
169,2023-09-16
170,2023-10-03
171,2023-06-08
172,2020-07-08
173,2023-06-02
174,2023-11-09
175,2023-11-01
176,2023-07-30
177,2021-09-24
178,2021-09-19
179,2022-08-30
180,2023-07-06
181,2023-10-14
182,2021-12-10
183,2023-12-05
184,2021-10-10
185,2020-11-13
186,2023-06-02
187,2023-06-11
188,2021-11-14
189,2021-10-25
190,2023-10-29
191,2023-06-10
192,2023-02-10
193,2021-03-17
194,2021-07-17
195,2023-07-15
196,2023-11-10
197,2023-11-11
198,2023-02-10
199,2022-08-09
200,2023-01-09
201,2021-11-29
202,2020-04-22
203,2020-01-02
204,2021-10-03
205,2020-08-07
206,2022-05-04
207,2023-06-02
208,2021-01-19
209,2023-11-27
210,2023-02-27
211,2022-12-12
212,2021-12-30
213,2023-12-10
214,2020-09-03
215,2022-04-15
216,2020-07-21
217,2023-04-22
218,2020-05-02
219,2021-02-04
220,2022-02-05
221,2020-10-20
222,2020-10-06
223,2022-06-02
224,2020-07-16
225,2022-09-08
226,2022-01-21
227,2020-05-23
228,2021-08-31
229,2023-05-09
230,2023-02-21
231,2020-07-05
232,2023-09-11
233,2021-04-08
234,2023-10-04
235,2021-10-21
236,2022-02-02
237,2022-08-12
238,2021-02-06
239,2023-10-01
240,2020-05-26
241,2023-03-17
242,2022-05-13
243,2021-05-03
244,2022-07-17
245,2021-07-04
246,2020-12-03
247,2022-05-21
248,2021-10-02
249,2021-04-17
250,2020-05-30
251,2023-12-09
252,2023-08-14
253,2020-09-19
254,2020-05-23
255,2020-12-11
256,2021-09-15
257,2022-10-13
258,2022-05-30
259,2020-01-02
260,2022-06-15
261,2023-08-20
262,2020-09-10
263,2021-03-28
264,2022-11-26
265,2023-03-29
266,2022-10-11
267,2020-01-09
268,2023-06-10
269,2023-01-27
270,2022-03-26
271,2020-07-26
272,2023-02-28
273,2021-02-07
274,2020-05-31
275,2020-02-23
276,2023-02-17
277,2021-09-19
278,2021-08-09
279,2023-12-14
280,2023-12-16
281,2020-04-13
282,2020-09-10
283,2023-06-04
284,2023-02-09
285,2021-05-24
286,2020-04-08
287,2020-06-01
288,2022-07-02
289,2022-05-27
290,2020-12-03
291,2022-04-01
292,2023-04-01
293,2022-08-14
294,2020-06-09
295,2022-03-11
296,2021-02-01
297,2023-07-24
298,2022-03-26
299,2023-11-16
300,2023-03-04
301,2023-05-03
302,2021-02-04
303,2021-10-01
304,2022-11-22
305,2021-11-18
306,2021-04-04
307,2022-08-12
308,2021-04-14
309,2023-10-30
310,2022-11-11
311,2022-01-19
312,2020-02-07
313,2020-08-17
314,2023-10-20
315,2021-07-16
316,2021-03-13
317,2023-07-30
318,2020-01-27
319,2020-08-13
320,2023-07-24
321,2022-03-08
322,2020-10-10
323,2022-05-28
324,2022-08-17
325,2021-03-28
326,2022-10-16
327,2022-03-26
328,2021-10-20
329,2021-06-30
330,2023-04-30
331,2022-12-08
332,2020-01-17
333,2023-04-10
334,2023-05-28
335,2020-06-06
336,2021-04-21
337,2022-12-05
338,2023-10-28
339,2021-06-01
340,2020-04-08
341,2022-11-26
342,2020-10-06
343,2023-10-04
344,2021-05-11
345,2020-10-28
346,2020-06-29
347,2021-08-29
348,2023-01-27
349,2021-11-30
350,2022-09-19
351,2023-02-13
352,2020-07-09
353,2020-09-09
354,2022-09-07
355,2022-07-16
356,2023-03-30
357,2023-07-03
358,2023-09-08
359,2020-05-07
360,2020-01-18
361,2021-07-19
362,2021-07-23
363,2023-09-08
364,2021-11-16
365,2021-09-17
366,2023-08-04
367,2022-05-03
368,2022-08-19
369,2020-06-03
370,2021-05-04
371,2023-11-10
372,2022-02-23
373,2023-02-01
374,2023-11-17
375,2020-09-02
376,2023-04-14
377,2022-11-28
378,2022-01-28
379,2021-06-21
380,2022-07-09
381,2021-02-11
382,2021-06-08
383,2022-04-07
384,2022-06-21
385,2020-02-05
386,2021-11-15
387,2020-01-20
388,2020-11-16
389,2021-05-26
390,2021-02-03
391,2021-10-15
392,2022-08-29
393,2021-04-15
394,2023-03-12
395,2023-01-20
396,2023-10-09
397,2022-04-13
398,2021-12-27
399,2022-05-03
400,2020-02-20
401,2021-07-28
402,2023-04-28
403,2023-02-22
404,2020-05-29
405,2020-11-09
406,2021-07-23
407,2023-09-27
408,2020-10-31
409,2021-11-12
410,2022-04-17
411,2022-12-13
412,2022-09-29
413,2021-03-19
414,2021-09-04
415,2022-09-19
416,2020-09-20
417,2022-12-12
418,2022-09-30
419,2020-01-05
420,2023-01-31
421,2023-05-04
422,2022-02-12
423,2022-05-26
424,2022-09-18
425,2022-06-02
426,2023-10-05
427,2020-02-16
428,2022-05-16
429,2022-04-02
430,2022-07-24
431,2021-10-17
432,2020-09-25
433,2021-01-04
434,2021-09-27
435,2023-02-03
436,2021-10-18
437,2020-04-29
438,2022-04-10
439,2022-12-17
440,2023-10-01
441,2022-01-10
442,2020-04-26
443,2022-03-01
444,2023-02-24
445,2023-11-17
446,2022-10-09
447,2022-12-17
448,2021-09-25
449,2021-05-27
450,2022-03-12
451,2023-01-24
452,2023-02-15
453,2021-07-13
454,2021-05-02
455,2023-06-14
456,2022-06-15
457,2023-07-19
458,2023-04-27
459,2021-12-04
460,2021-08-03
461,2022-02-28
462,2022-05-10
463,2020-09-03
464,2023-01-04
465,2020-06-02
466,2023-12-29
467,2022-09-23
468,2023-01-14
469,2021-11-27
470,2023-08-01
471,2023-05-28
472,2022-12-28
473,2022-12-06
474,2022-10-05
475,2020-04-03
476,2022-08-15
477,2022-10-08
478,2021-03-28
479,2023-05-12
480,2022-06-30
481,2020-08-05
482,2021-04-18
483,2021-03-07
484,2020-12-06
485,2021-07-04
486,2023-08-05
487,2023-07-01
488,2020-12-22
489,2020-01-23
490,2021-06-05
491,2023-01-28
492,2022-03-12
493,2023-04-18
494,2023-05-31
495,2022-01-31
496,2021-03-17
497,2022-02-07
498,2022-10-12
499,2023-09-10
500,2021-05-30
501,2022-11-05
502,2022-03-02
503,2020-12-01
504,2020-09-14
505,2021-05-11
506,2022-06-14
507,2020-06-08
508,2022-05-01
509,2021-11-20
510,2021-01-14
511,2022-08-14
512,2021-11-21
513,2023-12-21
514,2023-07-15
515,2023-12-11
516,2023-04-06
517,2022-12-02
518,2020-10-11
519,2021-01-31
520,2020-01-12
521,2023-08-18
522,2023-06-30
523,2021-05-13
524,2022-01-23
525,2020-02-04
526,2021-12-27
527,2022-04-28
528,2020-03-30
529,2022-02-14
530,2021-08-27
531,2022-08-27
532,2022-10-18
533,2021-02-21
534,2020-04-24
535,2021-09-08
536,2023-05-04
537,2022-04-05
538,2023-01-03
539,2021-02-16
540,2023-10-31
541,2023-12-14
542,2021-12-29
543,2023-07-24
544,2022-10-17
545,2022-01-30
546,2021-11-06
547,2023-11-18
548,2021-04-01
549,2022-07-08
550,2020-07-10
551,2022-01-08
552,2023-01-27
553,2022-09-04
554,2022-10-05
555,2020-04-05
556,2021-10-24
557,2023-04-28
558,2020-02-06
559,2023-10-24
560,2020-10-05
561,2020-08-04
562,2022-05-16
563,2022-05-22
564,2023-07-20
565,2020-03-02
566,2021-08-18
567,2021-12-29
568,2023-09-27
569,2021-01-31
570,2021-11-29
571,2022-11-08
572,2020-06-25
573,2021-01-30
574,2021-03-20
575,2023-06-10
576,2020-03-16
577,2020-09-21
578,2021-03-30
579,2021-12-18
580,2022-01-04
581,2023-11-08
582,2022-04-30
583,2023-10-22
584,2020-05-23
585,2022-06-03
586,2022-12-28
587,2023-01-27
588,2021-01-30
589,2022-11-14
590,2022-08-05
591,2022-06-09
592,2023-03-20
593,2023-03-13
594,2021-07-22
595,2022-11-28
596,2020-04-18
597,2022-12-01
598,2023-04-24
599,2022-07-23
600,2021-02-01
601,2023-05-31
602,2021-09-25
603,2023-03-02
604,2023-04-01
605,2023-05-23
606,2022-01-02
607,2020-08-22
608,2021-10-19
609,2022-01-20
610,2021-08-10
611,2022-10-29
612,2023-01-02
613,2022-08-11
614,2021-05-06
615,2022-07-01
616,2023-06-30
617,2023-06-07
618,2023-04-12
619,2023-04-06
620,2020-06-18
621,2023-11-17
622,2022-08-03
623,2022-03-05
624,2021-09-25
625,2023-05-02
626,2020-01-29
627,2023-04-03
628,2023-12-16
629,2020-12-04
630,2023-10-20
631,2023-09-27
632,2021-05-14
633,2021-05-25
634,2023-09-12
635,2020-08-04
636,2023-08-17
637,2023-03-01
638,2022-12-29
639,2023-06-29
640,2023-12-09
641,2021-03-20
642,2022-05-25
643,2023-04-20
644,2020-06-15
645,2020-03-31
646,2021-12-14
647,2020-02-08
648,2023-02-23
649,2020-06-21
650,2021-10-14
651,2022-01-23
652,2023-05-28
653,2022-12-17
654,2021-04-20
655,2021-03-31
656,2022-04-08
657,2022-06-13
658,2023-10-16
659,2022-10-21
660,2021-01-21
661,2020-12-13
662,2020-07-08
663,2021-05-19
664,2023-04-29
665,2023-10-24
666,2023-12-03
667,2022-04-03
668,2022-07-17
669,2022-07-22
670,2023-02-14
671,2020-05-13
672,2020-02-27
673,2021-11-15
674,2021-11-02
675,2020-06-21
676,2022-03-25
677,2023-03-18
678,2020-03-20
679,2022-06-04
680,2023-05-21
681,2020-07-21
682,2022-02-02
683,2023-06-06
684,2023-06-04
685,2023-11-26
686,2020-02-16
687,2023-06-10
688,2023-08-21
689,2023-03-12
690,2023-12-09
691,2023-10-28
692,2023-07-06
693,2021-10-17
694,2021-04-15
695,2022-08-28
696,2022-11-01
697,2023-09-15
698,2022-01-05
699,2022-02-22
700,2022-08-25
701,2020-12-23
702,2022-08-29
703,2023-12-02
704,2021-10-29
705,2021-01-07
706,2022-10-28
707,2023-02-19
708,2023-10-03
709,2021-11-06
710,2020-03-30
711,2021-11-28
712,2023-09-01
713,2023-04-16
714,2021-06-23
715,2022-01-01
716,2022-05-18
717,2020-02-10
718,2022-01-09
719,2021-05-16
720,2022-08-16
721,2023-03-14
722,2023-05-09
723,2022-07-17
724,2021-04-05
725,2022-01-01
726,2022-01-21
727,2022-07-13
728,2022-06-27
729,2023-06-30
730,2021-01-24
731,2022-06-01
732,2020-09-12
733,2021-12-09
734,2021-03-25
735,2020-01-10
736,2022-04-03
737,2022-03-08
738,2023-06-19
739,2023-06-28
740,2022-05-26
741,2022-10-25
742,2023-02-16
743,2022-10-12
744,2021-01-08
745,2022-12-24
746,2020-05-25
747,2020-08-11
748,2023-06-16
749,2020-06-25
750,2022-05-02
